uid,speech_id,party,term,campaign,person,text,gold_label
ID10034,2004-10-19-petersburg-florida-0,rep,2004,2004rep,Bush,"To make sure jobs are here in America, to make sure we continue to be a place where people can realize their dreams, America must be the best place in the world to do business. We need to reduce the burden of regulations on our job creators. We need to do something about the junk lawsuits that are threatening the small-business job creators.",0
ID2397,2012-11-02-rally-springfield-ohio,dem,2012,2012dem,Obama,"Hello, Wildcats! How's everybody doing today? You doing good?",0
ID4570,2012-09-17-columbus-ohio-0,dem,2012,2012dem,Obama,"If you don't know how to vote, go to gottavote.com. That's g-o-t-t-a vote. Find out how and where. Vote early. And if you vote early, then you can get the rest of the time getting other folks to vote.",0
ID12011,2004-10-31-remarks-miami-florida,rep,2004,2004rep,Bush,"The President. I heard him in the debates—you probably did too—when he said, """"""""""""""""The Government doesn't have anything to do with it."""""""""""""""" That's what he said about his plan. I could barely contain myself. The Government has got everything to do with it. And the wrong prescription for American families is to federalize health care in America.",0
ID3518,2012-10-25-rally-tampa-florida,dem,2012,2012dem,Obama,"And now it's up to you. Now it's up to you, right here in Florida. Today, you can choose the path that we go from here. It's up to the young people here to choose the future that you want to see. It's up to the not-so-young people to choose the kind of country we leave for the future generations.",0
ID12422,2004-09-16-care-blaine-minnesota,rep,2004,2004rep,Bush,"Before the Commander in Chief commits troops into harm's way, we must try all options. I've got to be able to say to the moms and dads and husbands and wives of our soldiers that I tried everything I can to deal with the threat before it fully materializes, in ways other than militarily. So I went to the United Nations. My hope was that we could solve this problem diplomatically. I was hopeful that the free world might convince Saddam Hussein to come to his senses.",0
ID15947,2016-09-30-showplace-novi-michigan,rep,2016,2016rep,Trump,"We are going to take on the special interests, the lobbyists, and the powerful politicians that have stolen your jobs, your wealth, and your middle class. We are going to take on the arrogant, corrupt corporate media that have enabled the global theft of American prosperity – a theft that has left behind crumbling schools, roads, bridges and a depleted military.",1
ID572,2012-10-24-rally-denver-colorado,dem,2012,2012dem,Obama,"But what you were voting on is somebody who you felt you could trust to work for you, to keep you in mind every single day. Trust matters. And one thing I think you've seen, Colorado, over the last 4 years is that I mean what I say. I do what I say I'm going to do.",0
ID13428,2008-10-08-remarks-bethlehem-pennsylvania,rep,2008,2008rep,McCain,"Then there's the matter of earmarks. In his three short years in the Senate, he has requested nearly a billion dollars in pork projects for his state - a million dollars for every day he's been in office. Far from fighting earmarks in Congress, Senator Obama has been an eager participant in this corrupt system.",1
ID334,2012-10-11-rally-miami-florida,dem,2012,2012dem,Obama,"I still believe in you, and I need you to keep believing in me. I need you to help me finish the job. And if you're willing to stand with me and work with me and knock on some doors with me and make some phone calls for me, we'll win Florida again. We'll win this election. We'll finish what we started. And we'll remind the world why the United States of America is the greatest nation on Earth.",0
ID3918,2008-10-30-columbia-missouri-0,dem,2008,2008dem,Obama,"When it comes to giving every child a world-class education, the choice is not between more money and more reform, because our schools need both. So as president I want to invest in early childhood education to close the achievement gap. And I want to recruit and army of new teachers, give them higher salaries, give them more support, expect higher standards and more accountability.",0
ID17082,2004-10-14-people-las-vegas,dem,2004,2004dem,Kerry,"The truth is, after doing nothing to lower the cost of prescription drugs for you, the President now tells us that he's solved the problem. Right. And those weapons of mass destruction are gonna turn up any day now.",0
ID3993,2012-10-24-rally-davenport-iowa,dem,2012,2012dem,Obama,"The President. Hello, Iowa! Hello, Quads! It's good to be back. This is about as close as I get to home these days, so it is good to be back. Are you fired up? Are you ready to go?",0
ID16152,2016-10-12-pavilion-ocala-florida,rep,2016,2016rep,Trump,"These emails are just the latest evidence of the hatred that the Clinton campaign has for everyday faithful Americans. True. The Wikileaks email show that Hillary Clinton's staff, even has to give her secret notes on when she needs to smile. Smile Hillary. Smile.",0
ID3421,2008-09-22-green-bay-wisconsin,dem,2008,2008dem,Obama,"We can't afford four more years of that kind of politics. We need real change. It won't be easy. The kind of change we're looking for never is. What we are up against is a very powerful, entrenched status quo in Washington who will say anything and do anything and fight with everything they've got to keep things just the way are.",1
ID18724,2020-10-29-biden-tampa-florida,dem,2020,2020dem,Biden,"It was always about the United States of America. I was reminded of that earlier this month, when I visited the sacred ground of Gettysburg. Abraham Lincoln taught us that we need to unite our nation — that a house divided cannot stand.",0
ID6876,2004-10-26-richland-center-wisconsin,rep,2004,2004rep,Bush,"And as a result of the Taliban being removed from power, Al Qaida no longer trains in Afghanistan. As a result of the Taliban no longer being in power, millions of citizens registered to vote and voted in a Presidential election. And the first voter was a 19-year-old woman, the first voter in the Afghanistan election. Unbelievable moment.",0
ID12945,2008-09-22-forum-scranton-pennsylvania,rep,2008,2008rep,McCain,"The firms we help need accountability too. We cannot have taxpayers footing the bill for bloated golden parachutes like we see in the Lehman Brothers bankruptcy, where the top executives are asking for $2.5 billion in bonuses after they ran the company into the ground. The senior executives of any firm that is bailed out by treasury should not be making more than the highest paid government official.",0
ID19048,2020-10-13-biden-miramar-florida,dem,2020,2020dem,Biden,"Experts say we'll lose nearly another 200,000 lives in the next few months all because this President is only worried about the stock market, because he refuses to follow science. It's estimated that if we just wore masks nationally, we'd save almost 100,000 lives over the next few months. In his own words, this President knew back in January when he was briefed in detail by the intelligence community that this was an extremely dangerous and communicable disease.",0
ID834,2008-09-09-dayton-ohio-4,dem,2008,2008dem,Obama,We are a nation that has always renewed our system of education to meet the challenges of a new time. Lincoln created the land grant colleges to ensure the success of the union he was fighting to save. Generations of leaders built mandatory public schools to prepare our children for the changing needs of our nation. And Eisenhower doubled federal investment in education after the Soviets beat us to space.,0
ID15862,2016-11-07-raleigh-north-carolina,rep,2016,2016rep,Trump,But two numbers I don't -- it just doesn't make sense. Twenty- two suicides a day for our veterans. OK? It doesn't make sense.,0
ID209,2008-10-26-denver-colorado-3,dem,2008,2008dem,Obama,"I'll also act quickly to help people stay in their homes. I'll help responsible homeowners refinance their mortgages on affordable terms, and put in place a three-month moratorium on foreclosures to give folks the breathing room they need to get back on their feet. And I won't let banks and lenders off the hook when it was their greed and irresponsibility that got us into this mess. We should not be bailing out Wall Street – we should be restoring opportunity on Main Street.",1
ID19453,2020-10-10-biden-erie-pennsylvania,dem,2020,2020dem,Biden,"In clean energy: upgrading 4 million buildings and weatherizing 2 million homes will create at least one million good paying jobs, union jobs to be filled by men and women like the members of this local. Donald Trump hears the words climate change and thinks: """"""""hoax."""""""" I hear climate change and think: """"""""jobs.""""""""",0
ID997,2008-09-28-remarks-detroit-michigan,dem,2008,2008dem,Obama,"And I will fight every day of this campaign and every day of my presidency to make sure a crisis like this never, ever happens again. That means taking on the lobbyists and special interests in Washington. That means taking on the greed and corruption on Wall Street. That means putting in place the rules of the road and common-sense regulations for our finance system that I've been calling for since last March. It is time to reform Washington.",1
ID6591,2004-11-01-city-iowa-0,rep,2004,2004rep,Bush,"The President. I'm standing with the doctors of America. I'm standing with the patients of America. I am for real medical liability reform. In all we do to improve health care, we will make sure that the medical decisions are made by doctors and patients, not by officials in Washington, DC.",0
ID12526,2004-09-07-remarks-columbia-missouri,rep,2004,2004rep,Bush,"The progress involved careful diplomacy, clear moral purpose, and some tough decisions. And the toughest came on Iraq. We knew Saddam Hussein's record of aggression and his support for terror. We knew his long history of pursuing and using weapons of mass destruction. And we know that after September the 11th, we must think differently. America must take threats seriously before they fully materialize.",0
ID20366,2012-09-18-york-city-20,dem,2012,2012dem,Obama,"So thank you so much, everybody. God bless you. Appreciate you. Bey, Jay, thank you.",0
ID306,2012-10-11-rally-miami-florida,dem,2012,2012dem,Obama,"Look, what he was selling was not working, because people understood his ideas wouldn't help the middle class. So these days, Mitt Romney's for whatever you're for. Now, what does he have to say, this new version of Mitt Romney, about all the things he's actually promised to do as President? Tax breaks for outsourcers? Never heard such a thing. Saying we should cut back on teachers? Doesn't ring a bell.",0
ID10577,2004-09-15-heritage-month-reception,rep,2004,2004rep,Bush,"Brian Sandoval, donde esta? Anyway, he's here somewhere. He got a lousy seat—",0
ID13213,2008-11-03-miami-florida-3,rep,2008,2008rep,McCain,"Fight to clean up the mess of corruption, infighting and selfishness in Washington. Fight to get our economy out of the ditch and back in the lead. Fight for the ideals and character of a free people.",1
ID20004,2020-10-06-biden-gettysburg-pennsylvania,dem,2020,2020dem,Biden,Enough. No more. Let's set the partisanship aside. Let's end the politics. Let's follow the science.,0
ID4557,2012-09-17-columbus-ohio-0,dem,2012,2012dem,Obama,"So when independent folks have tried to explain it, they've gone through it, and they've kind of gotten their calculators out, they've tallied these ups. And one independent report shows that Governor Romney's tax plan would provide an additional $250,000 tax cut for multimillionaires, but to pay for it, 95 percent of taxpayers would actually foot the bill. You pay more.",0
ID7959,2004-10-20-discussion-rochester-minnesota,rep,2004,2004rep,Bush,The President. Thank you all for coming. Thank you all. Please be seated. I might just decide to take off my jacket. We've got some work to do.,0
ID18849,2020-10-30-biden-milwaukee-wisconsin,dem,2020,2020dem,Biden,Dr. Fauci called for a mask mandate last week. It's not a political statement. It's a patriotic duty for God's sake.,0
ID3070,2008-09-27-north-carolina-1,dem,2008,2008dem,Obama,Finally - and this one is important - the American people should not be spending one dime to reward the same Wall Street CEOs whose greed and irresponsibility got us into this mess. There has been talk that some CEOs may refuse to cooperate with this plan if they have to give up their multi-million-dollar salaries. I cannot imagine a position more selfish and greedy at a time of national crisis. So I will not allow this plan to become a welfare program for Wall Street executives.,1
ID13112,2008-10-27-dayton-ohio-3,rep,2008,2008rep,McCain,"Fight for justice and opportunity for all. Stand up to defend our country from its enemies. Stand up, stand up, stand up and fight. America is worth fighting for. Nothing is inevitable here. We never give up. We never quit. We never hide from history. We make history.",0
ID19788,2020-08-20-nomination-wilmington-delaware,dem,2020,2020dem,Biden,"This campaign isn't just about winning votes. It's about winning the heart, and yes, the soul of America. Winning it for the generous among us, not the selfish. Winning it for the workers who keep this country going, not just the privileged few at the top. Winning it for those communities who have known the injustice of the """"""""knee on the neck"""""""". For all the young people who have known only an America of rising inequity and shrinking opportunity.",1
ID13826,2016-07-28-democratic-national-convention,dem,2016,2016dem,Clinton,"Our country needs your ideas, energy and passion. That is the only way we can turn our progressive platform into real change for America. We wrote it together, now let's go out and make it happen together!",0
ID11650,2004-10-06-farmington-hills-michigan,rep,2004,2004rep,Bush,"Instead, the Senator would have America bend over backwards to satisfy a handful of governments with agendas different from our own. This is my opponent's alliance-building strategy: Brush off your best friend; fawn over your critics. And that's no way to gain respect in this world.",0
ID8538,2004-10-23-remarks-jacksonville-florida,rep,2004,2004rep,Bush,"Audience members. But he cannot hide! The President. In all we do to improve health care, we will make sure the decisions are made by doctors and patients, not by officials in Washington, DC.",0
